Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,,Tennessee Titans,13,43,19,346,244,102,3,21,339,216,123,,-19.89,-11.10,-1.22
2,Mon,September 16,8:15PM ET,boxscore,W,,1-1,@,New York Jets,23,3,16,375,305,70,1,13,262,169,93,1,4.95,14.42,-0.90
3,Sun,September 22,8:20PM ET,boxscore,L,,1-2,,Los Angeles Rams,13,20,18,270,175,95,1,20,344,254,90,3,-8.89,-1.06,3.41
4,Sun,September 29,1:00PM ET,boxscore,W,,2-2,@,Baltimore Ravens,40,25,22,530,337,193,1,24,395,222,173,3,23.04,-4.82,-3.35
5,Mon,October 7,8:15PM ET,boxscore,L,,2-3,@,San Francisco 49ers,3,31,9,180,78,102,4,22,446,171,275,,-22.56,-12.38,10.50
6,Sun,October 13,1:00PM ET,boxscore,L,,2-4,,Seattle Seahawks,28,32,21,406,249,157,4,29,454,284,170,1,3.24,-15.53,4.92
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 27,4:25PM ET,boxscore,L,,2-5,@,New England Patriots,13,27,15,310,151,159,3,19,318,239,79,,-19.38,-4.62,7.91
9,Sun,November 3,4:25PM ET,boxscore,L,,2-6,@,Denver Broncos,19,24,21,351,261,90,,13,302,175,127,1,2.24,-5.66,-0.78
10,Sun,November 10,1:00PM ET,boxscore,W,,3-6,,Buffalo Bills,19,16,24,368,221,147,,20,344,260,84,,9.80,-4.32,0.44
11,Thu,November 14,8:20PM ET,boxscore,W,,4-6,,Pittsburgh Steelers,21,7,17,293,189,104,,18,236,178,58,4,-1.33,24.63,-6.48
12,Sun,November 24,1:00PM ET,boxscore,W,,5-6,,Miami Dolphins,41,24,30,467,320,147,1,22,284,192,92,2,26.93,-5.91,-3.50
13,Sun,December 1,1:00PM ET,boxscore,L,,5-7,@,Pittsburgh Steelers,13,20,19,279,173,106,2,18,323,199,124,1,-2.60,-2.57,-1.39
14,Sun,December 8,1:00PM ET,boxscore,W,,6-7,,Cincinnati Bengals,27,19,17,333,187,146,2,27,451,272,179,1,6.12,-1.25,5.82
15,Sun,December 15,4:05PM ET,boxscore,L,,6-8,@,Arizona Cardinals,24,38,25,393,241,152,2,26,445,219,226,1,10.72,-24.27,-1.61
16,Sun,December 22,1:00PM ET,boxscore,L,,6-9,,Baltimore Ravens,15,31,17,241,184,57,1,31,481,238,243,1,-0.38,-21.45,4.46
17,Sun,December 29,1:00PM ET,boxscore,L,,6-10,@,Cincinnati Bengals,23,33,15,313,239,74,3,22,361,182,179,1,1.53,-12.26,3.69
