Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:25PM ET,boxscore,L,,0-1,,San Francisco 49ers,17,31,21,295,174,121,4,17,256,158,98,2,-19.12,7.51,-1.10
2,Thu,September 12,8:20PM ET,boxscore,W,,1-1,@,Carolina Panthers,20,14,16,289,189,100,,20,352,313,39,1,-2.31,14.80,-8.98
3,Sun,September 22,4:05PM ET,boxscore,L,,1-2,,New York Giants,31,32,24,499,355,144,1,17,384,312,72,2,14.58,-8.02,-6.08
4,Sun,September 29,4:05PM ET,boxscore,W,,2-2,@,Los Angeles Rams,55,40,27,464,376,88,1,36,518,490,28,4,22.76,-4.47,-4.04
5,Sun,October 6,1:00PM ET,boxscore,L,,2-3,@,New Orleans Saints,24,31,19,252,158,94,,25,457,345,112,1,4.27,-17.39,3.99
6,Sun,October 13,9:30AM ET,boxscore,L,,2-4,,Carolina Panthers,26,37,23,407,365,42,7,17,268,209,59,1,-14.39,2.76,0.09
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 27,1:00PM ET,boxscore,L,,2-5,@,Tennessee Titans,23,27,23,389,283,106,4,16,246,174,72,1,-6.92,2.72,-1.66
9,Sun,November 3,4:05PM ET,boxscore,L,OT,2-6,@,Seattle Seahawks,34,40,29,418,319,99,1,31,492,347,145,1,13.19,-23.58,6.92
10,Sun,November 10,1:00PM ET,boxscore,W,,3-6,,Arizona Cardinals,30,27,26,457,339,118,3,20,417,342,75,2,9.52,-1.71,-3.53
11,Sun,November 17,1:00PM ET,boxscore,L,,3-7,,New Orleans Saints,17,34,21,334,298,36,4,21,328,219,109,,-1.16,-12.23,0.13
12,Sun,November 24,1:00PM ET,boxscore,W,,4-7,@,Atlanta Falcons,35,22,20,446,313,133,2,22,337,280,57,2,11.90,5.60,-3.77
13,Sun,December 1,1:00PM ET,boxscore,W,,5-7,@,Jacksonville Jaguars,28,11,19,315,241,74,1,14,242,193,49,4,-4.31,26.93,-2.93
14,Sun,December 8,1:00PM ET,boxscore,W,,6-7,,Indianapolis Colts,38,35,29,542,467,75,4,16,309,243,66,1,9.53,-8.36,3.36
15,Sun,December 15,1:00PM ET,boxscore,W,,7-7,@,Detroit Lions,38,17,23,495,446,49,1,16,295,250,45,3,13.82,14.38,-7.29
16,Sat,December 21,1:00PM ET,boxscore,L,,7-8,,Houston Texans,20,23,19,435,329,106,5,15,229,161,68,2,-8.40,13.02,-7.92
17,Sun,December 29,1:00PM ET,boxscore,L,OT,7-9,,Atlanta Falcons,22,28,14,329,193,136,3,28,373,286,87,1,-5.96,8.27,-9.46
