Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:05PM ET,boxscore,L,OT,0-1,@,Los Angeles Chargers,24,30,22,376,173,203,,25,435,310,125,2,18.02,-15.32,-8.43
2,Sun,September 15,1:00PM ET,boxscore,W,,1-1,@,Tennessee Titans,19,17,21,288,121,167,2,18,243,119,124,,5.07,3.74,-3.24
3,Sun,September 22,1:00PM ET,boxscore,W,,2-1,,Atlanta Falcons,27,24,29,379,300,79,,25,397,304,93,1,23.26,-20.23,2.98
4,Sun,September 29,1:00PM ET,boxscore,L,,2-2,,Oakland Raiders,24,31,22,346,265,81,2,21,377,189,188,1,1.60,-8.99,-0.78
5,Sun,October 6,8:20PM ET,boxscore,W,,3-2,@,Kansas City Chiefs,19,13,25,331,151,180,1,18,324,288,36,1,4.31,1.57,1.09
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 20,1:00PM ET,boxscore,W,,4-2,,Houston Texans,30,23,23,383,321,62,1,21,391,291,100,2,8.42,-1.33,0.23
8,Sun,October 27,1:00PM ET,boxscore,W,,5-2,,Denver Broncos,15,13,19,318,191,127,1,21,279,166,113,,0.95,2.39,-1.85
9,Sun,November 3,1:00PM ET,boxscore,L,,5-3,@,Pittsburgh Steelers,24,26,22,328,189,139,3,17,273,183,90,2,-0.41,3.46,-5.69
10,Sun,November 10,4:05PM ET,boxscore,L,,5-4,,Miami Dolphins,12,16,19,300,191,109,3,13,229,159,70,2,-16.98,16.73,-3.10
11,Sun,November 17,1:00PM ET,boxscore,W,,6-4,,Jacksonville Jaguars,33,13,23,389,125,264,2,15,308,279,29,1,15.77,4.19,-5.81
12,Thu,November 21,8:20PM ET,boxscore,L,,6-5,@,Houston Texans,17,20,19,296,121,175,,16,396,297,99,1,3.31,-8.75,0.17
13,Sun,December 1,1:00PM ET,boxscore,L,,6-6,,Tennessee Titans,17,31,22,391,309,82,3,15,292,138,154,2,-1.63,1.94,-12.84
14,Sun,December 8,1:00PM ET,boxscore,L,,6-7,@,Tampa Bay Buccaneers,35,38,16,309,243,66,1,29,542,467,75,4,8.36,-9.53,-3.36
15,Mon,December 16,8:15PM ET,boxscore,L,,6-8,@,New Orleans Saints,7,34,16,205,159,46,,27,424,307,117,,-2.27,-23.61,-0.53
16,Sun,December 22,1:00PM ET,boxscore,W,,7-8,,Carolina Panthers,38,6,25,324,106,218,,19,286,199,87,3,12.71,11.07,6.22
17,Sun,December 29,4:25PM ET,boxscore,L,,7-9,@,Jacksonville Jaguars,20,38,17,275,143,132,2,23,353,286,67,1,-5.69,-13.70,-0.18
