Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,,Kansas City Chiefs,26,40,18,428,347,81,2,24,491,378,113,,8.70,-26.49,-1.47
2,Sun,September 15,1:00PM ET,boxscore,L,,0-2,@,Houston Texans,12,13,16,281,178,103,1,17,263,137,126,,-7.19,2.30,1.18
3,Thu,September 19,8:20PM ET,boxscore,W,,1-2,,Tennessee Titans,20,7,12,292,204,88,,21,340,249,91,1,-1.20,6.44,5.28
4,Sun,September 29,4:25PM ET,boxscore,W,,2-2,@,Denver Broncos,26,24,25,455,186,269,,19,371,303,68,1,7.97,-6.62,0.72
5,Sun,October 6,1:00PM ET,boxscore,L,,2-3,@,Carolina Panthers,27,34,28,507,358,149,3,22,445,160,285,,5.62,-16.10,6.41
6,Sun,October 13,1:00PM ET,boxscore,L,,2-4,,New Orleans Saints,6,13,11,226,151,75,1,18,326,222,104,,-11.07,-1.88,0.56
7,Sun,October 20,1:00PM ET,boxscore,W,,3-4,@,Cincinnati Bengals,27,17,22,460,244,216,,21,291,258,33,4,2.45,14.01,-7.13
8,Sun,October 27,1:00PM ET,boxscore,W,,4-4,,New York Jets,29,15,21,389,278,111,1,15,213,167,46,3,4.35,12.91,-3.33
9,Sun,November 3,9:30AM ET,boxscore,L,,4-5,,Houston Texans,3,26,21,356,282,74,4,21,410,194,216,1,-12.02,-8.05,0.32
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 17,1:00PM ET,boxscore,L,,4-6,@,Indianapolis Colts,13,33,15,308,279,29,1,23,389,125,264,2,-4.19,-15.77,5.81
12,Sun,November 24,4:05PM ET,boxscore,L,,4-7,@,Tennessee Titans,20,42,23,369,252,117,1,21,471,252,219,2,1.20,-20.75,-2.59
13,Sun,December 1,1:00PM ET,boxscore,L,,4-8,,Tampa Bay Buccaneers,11,28,14,242,193,49,4,19,315,241,74,1,-26.93,4.31,2.93
14,Sun,December 8,4:05PM ET,boxscore,L,,4-9,,Los Angeles Chargers,10,45,15,252,164,88,,27,525,330,195,,-6.91,-37.99,8.63
15,Sun,December 15,4:05PM ET,boxscore,W,,5-9,@,Oakland Raiders,20,16,17,262,185,77,,27,364,236,128,,6.63,-11.24,6.93
16,Sun,December 22,1:00PM ET,boxscore,L,,5-10,@,Atlanta Falcons,12,24,17,288,173,115,1,28,518,383,135,2,-4.26,-18.86,7.84
17,Sun,December 29,4:25PM ET,boxscore,W,,6-10,,Indianapolis Colts,38,20,23,353,286,67,1,17,275,143,132,2,13.70,5.69,0.18
