Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,,Buffalo Bills,16,17,17,223,155,68,1,23,370,242,128,4,-7.39,3.17,1.63
2,Mon,September 16,8:15PM ET,boxscore,L,,0-2,,Cleveland Browns,3,23,13,262,169,93,1,16,375,305,70,1,-14.42,-4.95,0.90
3,Sun,September 22,1:00PM ET,boxscore,L,,0-3,@,New England Patriots,14,30,6,105,69,36,1,21,381,313,68,2,-26.43,-1.65,9.81
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,October 6,1:00PM ET,boxscore,L,,0-4,@,Philadelphia Eagles,6,31,9,128,61,67,3,17,265,181,84,1,-35.65,4.56,6.44
6,Sun,October 13,4:25PM ET,boxscore,W,,1-4,,Dallas Cowboys,24,22,20,382,326,56,1,26,399,270,129,,10.83,-11.13,3.11
7,Mon,October 21,8:15PM ET,boxscore,L,,1-5,,New England Patriots,0,33,12,154,73,81,6,22,323,249,74,1,-28.37,-2.21,-1.82
8,Sun,October 27,1:00PM ET,boxscore,L,,1-6,@,Jacksonville Jaguars,15,29,15,213,167,46,3,21,389,278,111,1,-12.91,-4.35,3.33
9,Sun,November 3,1:00PM ET,boxscore,L,,1-7,@,Miami Dolphins,18,26,17,321,238,83,1,22,316,266,50,,-2.76,-9.94,3.06
10,Sun,November 10,1:00PM ET,boxscore,W,,2-7,,New York Giants,34,27,18,294,218,76,,15,281,258,23,2,6.97,2.96,-0.39
11,Sun,November 17,1:00PM ET,boxscore,W,,3-7,@,Washington Redskins,34,17,23,400,285,115,2,13,225,171,54,1,10.08,18.32,-9.20
12,Sun,November 24,1:00PM ET,boxscore,W,,4-7,,Oakland Raiders,34,3,21,401,313,88,1,10,208,140,68,2,12.75,19.86,-2.36
13,Sun,December 1,1:00PM ET,boxscore,L,,4-8,@,Cincinnati Bengals,6,22,15,271,209,62,,18,277,233,44,,-12.69,-1.76,-0.63
14,Sun,December 8,1:00PM ET,boxscore,W,,5-8,,Miami Dolphins,22,21,22,374,262,112,1,22,362,240,122,1,5.93,-5.46,0.46
15,Thu,December 12,8:20PM ET,boxscore,L,,5-9,@,Baltimore Ravens,21,42,13,310,207,103,2,23,430,212,218,,-6.50,-25.99,9.13
16,Sun,December 22,1:00PM ET,boxscore,W,,6-9,,Pittsburgh Steelers,16,10,14,259,174,85,1,16,260,185,75,2,-8.44,11.79,5.10
17,Sun,December 29,1:00PM ET,boxscore,W,,7-9,@,Buffalo Bills,13,6,18,271,185,86,1,17,309,236,73,3,-3.92,13.72,-1.10
