Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 9,7:10PM ET,boxscore,W,,1-0,,Houston Texans,30,28,25,510,362,148,1,22,414,234,180,1,23.59,-19.60,-0.06
2,Sun,September 15,4:25PM ET,boxscore,L,,1-1,@,Los Angeles Rams,9,27,15,244,187,57,1,20,380,265,115,1,-13.12,-7.63,6.34
3,Sun,September 22,4:25PM ET,boxscore,W,,2-1,@,Seattle Seahawks,33,27,15,265,177,88,1,26,514,406,108,1,0.89,-8.28,6.88
4,Sun,September 29,8:20PM ET,boxscore,W,,3-1,,Dallas Cowboys,12,10,18,266,149,117,1,15,257,212,45,3,-1.84,-1.46,0.65
5,Sun,October 6,1:00PM ET,boxscore,W,,4-1,,Tampa Bay Buccaneers,31,24,25,457,345,112,1,19,252,158,94,,17.39,-4.27,-3.99
6,Sun,October 13,1:00PM ET,boxscore,W,,5-1,@,Jacksonville Jaguars,13,6,18,326,222,104,,11,226,151,75,1,1.88,11.07,-0.56
7,Sun,October 20,4:25PM ET,boxscore,W,,6-1,@,Chicago Bears,36,25,24,424,273,151,,16,252,235,17,2,13.46,12.36,-10.99
8,Sun,October 27,1:00PM ET,boxscore,W,,7-1,,Arizona Cardinals,31,9,28,510,373,137,1,10,237,197,40,,24.66,11.97,-9.91
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 10,1:00PM ET,boxscore,L,,7-2,,Atlanta Falcons,9,26,18,310,258,52,,24,317,174,143,1,-10.99,-5.44,0.17
11,Sun,November 17,1:00PM ET,boxscore,W,,8-2,@,Tampa Bay Buccaneers,34,17,21,328,219,109,,21,334,298,36,4,12.23,1.16,-0.13
12,Sun,November 24,1:00PM ET,boxscore,W,,9-2,,Carolina Panthers,34,31,23,418,300,118,1,26,351,230,121,1,15.06,-16.55,5.89
13,Thu,November 28,8:20PM ET,boxscore,W,,10-2,@,Atlanta Falcons,26,18,14,279,184,95,,27,348,259,89,3,1.68,5.43,4.87
14,Sun,December 8,1:00PM ET,boxscore,L,,10-3,,San Francisco 49ers,46,48,28,465,349,116,1,25,516,354,162,1,21.97,-27.42,3.51
15,Mon,December 16,8:15PM ET,boxscore,W,,11-3,,Indianapolis Colts,34,7,27,424,307,117,,16,205,159,46,,23.61,2.27,0.53
16,Sun,December 22,1:00PM ET,boxscore,W,,12-3,@,Tennessee Titans,38,28,23,377,275,102,,17,397,248,149,1,13.33,-4.25,2.33
17,Sun,December 29,1:00PM ET,boxscore,W,,13-3,@,Carolina Panthers,42,10,25,379,264,115,,16,329,288,41,3,17.52,14.97,-2.88
