Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,,Atlanta Falcons,28,12,18,269,97,172,,27,345,272,73,3,11.05,1.83,4.34
2,Sun,September 15,1:00PM ET,boxscore,L,,1-1,@,Green Bay Packers,16,21,15,421,223,198,4,20,335,191,144,2,-6.94,7.02,-5.30
3,Sun,September 22,1:00PM ET,boxscore,W,,2-1,,Oakland Raiders,34,14,23,385,174,211,,17,302,214,88,1,20.43,-1.77,0.15
4,Sun,September 29,4:25PM ET,boxscore,L,,2-2,@,Chicago Bears,6,16,15,222,182,40,2,17,269,197,72,,-10.79,2.85,-1.53
5,Sun,October 6,1:00PM ET,boxscore,W,,3-2,@,New York Giants,28,10,22,490,279,211,1,18,211,147,64,1,16.93,8.73,-0.40
6,Sun,October 13,1:00PM ET,boxscore,W,,4-2,,Philadelphia Eagles,38,20,26,447,325,122,2,19,400,292,108,3,17.04,-2.18,-0.52
7,Sun,October 20,1:00PM ET,boxscore,W,,5-2,@,Detroit Lions,42,30,32,504,338,166,,26,433,352,81,1,35.60,-18.28,-2.59
8,Thu,October 24,8:20PM ET,boxscore,W,,6-2,,Washington Redskins,19,9,22,434,273,161,1,14,216,131,85,2,6.29,5.06,-2.48
9,Sun,November 3,1:00PM ET,boxscore,L,,6-3,@,Kansas City Chiefs,23,26,17,308,212,96,,17,377,230,147,1,3.06,-7.56,0.23
10,Sun,November 10,8:20PM ET,boxscore,W,,7-3,@,Dallas Cowboys,28,24,27,364,211,153,,24,443,393,50,1,18.73,-18.62,2.89
11,Sun,November 17,1:00PM ET,boxscore,W,,8-3,,Denver Broncos,27,23,19,321,284,37,2,20,394,270,124,1,8.51,-4.61,-2.33
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Mon,December 2,8:15PM ET,boxscore,L,,8-4,@,Seattle Seahawks,30,37,17,354,276,78,3,24,444,226,218,2,6.46,-5.79,-10.50
14,Sun,December 8,1:00PM ET,boxscore,W,,9-4,,Detroit Lions,20,7,22,354,234,120,,18,231,161,70,2,3.77,7.27,-0.30
15,Sun,December 15,4:05PM ET,boxscore,W,,10-4,@,Los Angeles Chargers,39,10,18,344,207,137,1,17,345,283,62,7,5.27,20.63,-0.79
16,Mon,December 23,8:15PM ET,boxscore,L,,10-5,,Green Bay Packers,10,23,7,139,82,57,1,22,383,199,184,3,-25.86,5.18,6.94
17,Sun,December 29,1:00PM ET,boxscore,L,,10-6,,Chicago Bears,19,21,14,300,126,174,3,24,337,179,158,1,2.15,-1.26,1.08
