Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,September 5,8:20PM ET,boxscore,L,,0-1,,Green Bay Packers,3,10,16,254,208,46,1,13,213,166,47,,-20.02,9.57,-2.01
2,Sun,September 15,4:25PM ET,boxscore,W,,1-1,@,Denver Broncos,16,14,18,273,120,153,,27,372,282,90,1,4.12,-4.46,5.80
3,Mon,September 23,8:15PM ET,boxscore,W,,2-1,@,Washington Redskins,31,15,21,298,208,90,1,25,356,287,69,5,9.23,11.86,-3.52
4,Sun,September 29,4:25PM ET,boxscore,W,,3-1,,Minnesota Vikings,16,6,17,269,197,72,,15,222,182,40,2,-2.85,10.79,1.53
5,Sun,October 6,1:00PM ET,boxscore,L,,3-2,@,Oakland Raiders,21,24,15,236,194,42,2,25,398,229,169,2,-3.03,-2.24,-0.43
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 20,4:25PM ET,boxscore,L,,3-3,,New Orleans Saints,25,36,16,252,235,17,2,24,424,273,151,,-12.36,-13.46,10.99
8,Sun,October 27,1:00PM ET,boxscore,L,,3-4,,Los Angeles Chargers,16,17,26,388,226,162,2,11,231,195,36,1,0.44,5.45,-6.02
9,Sun,November 3,1:00PM ET,boxscore,L,,3-5,@,Philadelphia Eagles,14,22,10,164,102,62,1,26,373,227,146,,-4.78,-10.73,2.82
10,Sun,November 10,1:00PM ET,boxscore,W,,4-5,,Detroit Lions,20,13,13,226,145,81,,21,357,259,98,1,-0.41,6.77,-2.10
11,Sun,November 17,8:20PM ET,boxscore,L,,4-6,@,Los Angeles Rams,7,17,17,267,193,74,1,13,283,173,110,2,-13.17,5.69,-5.08
12,Sun,November 24,1:00PM ET,boxscore,W,,5-6,,New York Giants,19,14,20,335,270,65,2,14,243,134,109,1,-7.02,12.48,-2.01
13,Thu,November 28,12:30PM ET,boxscore,W,,6-6,@,Detroit Lions,24,20,22,419,331,88,1,19,364,259,105,1,8.33,-6.28,0.13
14,Thu,December 5,8:20PM ET,boxscore,W,,7-6,,Dallas Cowboys,31,24,24,382,231,151,2,22,408,326,82,,10.48,-10.67,8.71
15,Sun,December 15,1:00PM ET,boxscore,L,,7-7,@,Green Bay Packers,13,21,20,415,319,96,3,12,292,192,100,,-4.89,2.97,-1.24
16,Sun,December 22,8:20PM ET,boxscore,L,,7-8,,Kansas City Chiefs,3,26,18,234,133,101,,25,350,244,106,,-6.38,-14.74,-1.09
17,Sun,December 29,1:00PM ET,boxscore,W,,8-8,@,Minnesota Vikings,21,19,24,337,179,158,1,14,300,126,174,3,1.26,-2.15,-1.08
