Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 9,10:20PM ET,boxscore,L,,0-1,@,Oakland Raiders,16,24,18,344,249,95,,19,357,259,98,,8.29,-16.92,1.51
2,Sun,September 15,4:25PM ET,boxscore,L,,0-2,,Chicago Bears,14,16,27,372,282,90,1,18,273,120,153,,4.46,-4.12,-5.80
3,Sun,September 22,1:00PM ET,boxscore,L,,0-3,@,Green Bay Packers,16,27,20,310,161,149,3,16,312,235,77,,-7.05,-6.29,3.35
4,Sun,September 29,4:25PM ET,boxscore,L,,0-4,,Jacksonville Jaguars,24,26,19,371,303,68,1,25,455,186,269,,6.62,-7.97,-0.72
5,Sun,October 6,4:05PM ET,boxscore,W,,1-4,@,Los Angeles Chargers,20,13,15,350,159,191,2,19,246,211,35,3,-2.29,12.18,-0.78
6,Sun,October 13,4:25PM ET,boxscore,W,,2-4,,Tennessee Titans,16,0,11,270,167,103,1,12,204,165,39,3,-10.82,25.18,1.34
7,Thu,October 17,8:20PM ET,boxscore,L,,2-5,,Kansas City Chiefs,6,30,15,205,134,71,1,14,271,191,80,,-17.78,-0.65,-6.92
8,Sun,October 27,1:00PM ET,boxscore,L,,2-6,@,Indianapolis Colts,13,15,21,279,166,113,,19,318,191,127,1,-2.39,-0.95,1.85
9,Sun,November 3,4:25PM ET,boxscore,W,,3-6,,Cleveland Browns,24,19,13,302,175,127,1,21,351,261,90,,5.66,-2.24,0.78
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 17,1:00PM ET,boxscore,L,,3-7,@,Minnesota Vikings,23,27,20,394,270,124,1,19,321,284,37,2,4.61,-8.51,2.33
12,Sun,November 24,1:00PM ET,boxscore,L,,3-8,@,Buffalo Bills,3,20,9,134,49,85,1,22,424,180,244,1,-14.64,-8.50,3.59
13,Sun,December 1,4:25PM ET,boxscore,W,,4-8,,Los Angeles Chargers,23,20,13,218,134,84,1,17,359,244,115,2,-2.73,-1.40,11.44
14,Sun,December 8,1:00PM ET,boxscore,W,,5-8,@,Houston Texans,38,24,22,391,301,90,1,26,414,280,134,3,18.37,-1.10,-3.75
15,Sun,December 15,1:00PM ET,boxscore,L,,5-9,@,Kansas City Chiefs,3,23,15,251,199,52,1,27,419,327,92,1,-9.67,-15.31,4.87
16,Sun,December 22,4:05PM ET,boxscore,W,,6-9,,Detroit Lions,27,17,25,348,198,150,,13,191,95,96,,12.95,4.32,-4.08
17,Sun,December 29,4:25PM ET,boxscore,W,,7-9,,Oakland Raiders,16,15,16,238,168,70,1,18,477,380,97,1,-8.20,0.30,10.20
