Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:05PM ET,boxscore,W,OT,1-0,,Indianapolis Colts,30,24,25,435,310,125,2,22,376,173,203,,15.32,-18.02,8.43
2,Sun,September 15,1:00PM ET,boxscore,L,,1-1,@,Detroit Lions,10,13,21,424,287,137,2,19,339,245,94,2,5.86,-8.62,-0.56
3,Sun,September 22,4:25PM ET,boxscore,L,,1-2,,Houston Texans,20,27,22,366,293,73,1,20,376,337,39,1,6.08,-16.39,1.94
4,Sun,September 29,1:00PM ET,boxscore,W,,2-2,@,Miami Dolphins,30,10,24,390,311,79,,13,233,161,72,1,15.45,-0.41,3.89
5,Sun,October 6,4:05PM ET,boxscore,L,,2-3,,Denver Broncos,13,20,19,246,211,35,3,15,350,159,191,2,-12.18,2.29,0.78
6,Sun,October 13,8:20PM ET,boxscore,L,,2-4,,Pittsburgh Steelers,17,24,23,348,316,32,3,18,256,132,124,1,-2.12,-5.45,-4.54
7,Sun,October 20,4:05PM ET,boxscore,L,,2-5,@,Tennessee Titans,20,23,24,365,326,39,1,22,403,306,97,1,8.93,-10.83,-0.57
8,Sun,October 27,1:00PM ET,boxscore,W,,3-5,@,Chicago Bears,17,16,11,231,195,36,1,26,388,226,162,2,-5.45,-0.44,6.02
9,Sun,November 3,4:25PM ET,boxscore,W,,4-5,,Green Bay Packers,26,11,24,442,283,159,,13,184,139,45,,16.68,5.74,-6.12
10,Thu,November 7,8:20PM ET,boxscore,L,,4-6,@,Oakland Raiders,24,26,26,315,169,146,3,18,278,200,78,,0.55,-5.96,1.54
11,Mon,November 18,8:15PM ET,boxscore,L,,4-7,,Kansas City Chiefs,17,24,23,438,345,93,4,18,310,180,130,1,-1.36,-4.13,-2.05
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,December 1,4:25PM ET,boxscore,L,,4-8,@,Denver Broncos,20,23,17,359,244,115,2,13,218,134,84,1,1.40,2.73,-11.44
14,Sun,December 8,4:05PM ET,boxscore,W,,5-8,@,Jacksonville Jaguars,45,10,27,525,330,195,,15,252,164,88,,37.99,6.91,-8.63
15,Sun,December 15,4:05PM ET,boxscore,L,,5-9,,Minnesota Vikings,10,39,17,345,283,62,7,18,344,207,137,1,-20.63,-5.27,0.79
16,Sun,December 22,4:05PM ET,boxscore,L,,5-10,,Oakland Raiders,17,24,21,284,265,19,,19,366,267,99,,6.73,-12.67,-2.60
17,Sun,December 29,1:00PM ET,boxscore,L,,5-11,@,Kansas City Chiefs,21,31,25,366,258,108,2,16,336,174,162,1,9.18,-13.59,-7.29
