Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,,Washington Redskins,32,27,22,436,313,123,,15,398,370,28,,17.68,-12.08,0.64
2,Sun,September 15,8:20PM ET,boxscore,L,,1-1,@,Atlanta Falcons,20,24,18,286,237,49,3,19,367,310,57,3,-5.22,-3.96,4.03
3,Sun,September 22,1:00PM ET,boxscore,L,,1-2,,Detroit Lions,24,27,22,373,246,127,2,16,287,201,86,,-0.31,-1.07,-3.80
4,Thu,September 26,8:20PM ET,boxscore,W,,2-2,@,Green Bay Packers,34,27,24,336,160,176,,31,491,414,77,2,18.42,-16.95,4.12
5,Sun,October 6,1:00PM ET,boxscore,W,,3-2,,New York Jets,31,6,17,265,181,84,1,9,128,61,67,3,-4.56,35.65,-6.44
6,Sun,October 13,1:00PM ET,boxscore,L,,3-3,@,Minnesota Vikings,20,38,19,400,292,108,3,26,447,325,122,2,2.18,-17.04,0.52
7,Sun,October 20,8:20PM ET,boxscore,L,,3-4,@,Dallas Cowboys,10,37,16,283,168,115,4,23,402,213,189,1,-10.92,-15.32,0.53
8,Sun,October 27,1:00PM ET,boxscore,W,,4-4,@,Buffalo Bills,31,13,21,371,153,218,1,16,253,155,98,1,10.88,7.91,-5.78
9,Sun,November 3,1:00PM ET,boxscore,W,,5-4,,Chicago Bears,22,14,26,373,227,146,,10,164,102,62,1,10.73,4.78,-2.82
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 17,4:25PM ET,boxscore,L,,5-5,,New England Patriots,10,17,21,255,174,81,1,19,298,224,74,,-9.17,4.83,-0.43
12,Sun,November 24,1:00PM ET,boxscore,L,,5-6,,Seattle Seahawks,9,17,23,344,238,106,5,14,348,174,174,2,-17.25,4.38,0.20
13,Sun,December 1,1:00PM ET,boxscore,L,,5-7,@,Miami Dolphins,31,37,23,386,294,92,1,26,409,351,58,1,11.33,-16.93,0.08
14,Mon,December 9,8:15PM ET,boxscore,W,OT,6-7,,New York Giants,23,17,27,418,300,118,1,11,255,182,73,,3.00,4.47,-0.47
15,Sun,December 15,1:00PM ET,boxscore,W,,7-7,@,Washington Redskins,37,27,27,415,258,157,1,19,352,251,101,1,19.99,-5.52,-3.89
16,Sun,December 22,4:25PM ET,boxscore,W,,8-7,,Dallas Cowboys,17,9,23,431,313,118,,16,311,257,54,1,8.73,6.26,-3.16
17,Sun,December 29,4:25PM ET,boxscore,W,,9-7,@,New York Giants,34,17,25,400,279,121,,19,397,275,122,2,6.30,6.61,-0.16
