Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,@,Minnesota Vikings,12,28,27,345,272,73,3,18,269,97,172,,-1.83,-11.05,-4.34
2,Sun,September 15,8:20PM ET,boxscore,W,,1-1,,Philadelphia Eagles,24,20,19,367,310,57,3,18,286,237,49,3,3.96,5.22,-4.03
3,Sun,September 22,1:00PM ET,boxscore,L,,1-2,@,Indianapolis Colts,24,27,25,397,304,93,1,29,379,300,79,,20.23,-23.26,-2.98
4,Sun,September 29,1:00PM ET,boxscore,L,,1-3,,Tennessee Titans,10,24,24,422,364,58,1,22,365,227,138,,1.83,-10.78,-3.80
5,Sun,October 6,1:00PM ET,boxscore,L,,1-4,@,Houston Texans,32,53,22,373,316,57,1,31,592,426,166,1,6.40,-40.69,9.43
6,Sun,October 13,4:05PM ET,boxscore,L,,1-5,@,Arizona Cardinals,33,34,31,444,341,103,,24,442,340,102,,24.99,-23.23,-0.25
7,Sun,October 20,1:00PM ET,boxscore,L,,1-6,,Los Angeles Rams,10,37,14,224,186,38,3,23,381,291,90,,-10.97,-8.61,-7.98
8,Sun,October 27,1:00PM ET,boxscore,L,,1-7,,Seattle Seahawks,20,27,30,510,441,69,3,18,322,171,151,,12.89,-7.62,-15.43
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 10,1:00PM ET,boxscore,W,,2-7,@,New Orleans Saints,26,9,24,317,174,143,1,18,310,258,52,,5.44,10.99,-0.17
11,Sun,November 17,1:00PM ET,boxscore,W,,3-7,@,Carolina Panthers,29,3,20,349,295,54,,17,347,270,77,4,6.14,19.30,-1.12
12,Sun,November 24,1:00PM ET,boxscore,L,,3-8,,Tampa Bay Buccaneers,22,35,22,337,280,57,2,20,446,313,133,2,-5.60,-11.90,3.77
13,Thu,November 28,8:20PM ET,boxscore,L,,3-9,,New Orleans Saints,18,26,27,348,259,89,3,14,279,184,95,,-5.43,-1.68,-4.87
14,Sun,December 8,1:00PM ET,boxscore,W,,4-9,,Carolina Panthers,40,20,22,461,302,159,,27,345,245,100,4,19.83,-2.41,5.06
15,Sun,December 15,4:25PM ET,boxscore,W,,5-9,@,San Francisco 49ers,29,22,20,290,201,89,1,20,313,193,120,2,7.04,-2.84,2.73
16,Sun,December 22,1:00PM ET,boxscore,W,,6-9,,Jacksonville Jaguars,24,12,28,518,383,135,2,17,288,173,115,1,18.86,4.26,-7.84
17,Sun,December 29,1:00PM ET,boxscore,W,OT,7-9,@,Tampa Bay Buccaneers,28,22,28,373,286,87,1,14,329,193,136,3,-8.27,5.96,9.46
