Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,@,Arizona Cardinals,27,27,23,477,361,116,2,21,387,275,112,1,7.02,3.50,-9.80
2,Sun,September 15,1:00PM ET,boxscore,W,,1-0-1,,Los Angeles Chargers,13,10,19,339,245,94,2,21,424,287,137,2,8.62,-5.86,0.56
3,Sun,September 22,1:00PM ET,boxscore,W,,2-0-1,@,Philadelphia Eagles,27,24,16,287,201,86,,22,373,246,127,2,1.07,0.31,3.80
4,Sun,September 29,1:00PM ET,boxscore,L,,2-1-1,,Kansas City Chiefs,30,34,29,447,261,186,2,29,438,315,123,3,1.27,-17.08,13.41
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Mon,October 14,8:15PM ET,boxscore,L,,2-2-1,@,Green Bay Packers,22,23,13,299,243,56,,22,447,277,170,3,-0.70,-4.03,4.66
7,Sun,October 20,1:00PM ET,boxscore,L,,2-3-1,,Minnesota Vikings,30,42,26,433,352,81,1,32,504,338,166,,18.28,-35.60,2.59
8,Sun,October 27,1:00PM ET,boxscore,W,,3-3-1,,New York Giants,31,26,17,375,316,59,2,24,370,290,80,1,7.67,-6.34,5.39
9,Sun,November 3,4:05PM ET,boxscore,L,,3-4-1,@,Oakland Raiders,24,31,26,473,383,90,2,25,450,279,171,,13.92,-16.79,-4.07
10,Sun,November 10,1:00PM ET,boxscore,L,,3-5-1,@,Chicago Bears,13,20,21,357,259,98,1,13,226,145,81,,-6.77,0.41,2.10
11,Sun,November 17,1:00PM ET,boxscore,L,,3-6-1,,Dallas Cowboys,27,35,19,312,191,121,,26,509,434,75,1,7.70,-22.23,6.35
12,Sun,November 24,1:00PM ET,boxscore,L,,3-7-1,@,Washington Redskins,16,19,21,364,189,175,4,13,230,144,86,2,-8.85,13.57,-10.88
13,Thu,November 28,12:30PM ET,boxscore,L,,3-8-1,,Chicago Bears,20,24,19,364,259,105,1,22,419,331,88,1,6.28,-8.33,-0.13
14,Sun,December 8,1:00PM ET,boxscore,L,,3-9-1,@,Minnesota Vikings,7,20,18,231,161,70,2,22,354,234,120,,-7.27,-3.77,0.30
15,Sun,December 15,1:00PM ET,boxscore,L,,3-10-1,,Tampa Bay Buccaneers,17,38,16,295,250,45,3,23,495,446,49,1,-14.38,-13.82,7.29
16,Sun,December 22,4:05PM ET,boxscore,L,,3-11-1,@,Denver Broncos,17,27,13,191,95,96,,25,348,198,150,,-4.32,-12.95,4.08
17,Sun,December 29,1:00PM ET,boxscore,L,,3-12-1,,Green Bay Packers,20,23,17,305,134,171,1,25,432,312,120,1,1.53,-8.54,4.01
