Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:05PM ET,boxscore,W,,1-0,,Cincinnati Bengals,21,20,12,232,160,72,1,22,429,395,34,3,-5.43,-0.16,8.50
2,Sun,September 15,1:00PM ET,boxscore,W,,2-0,@,Pittsburgh Steelers,28,26,25,425,274,151,2,17,261,180,81,1,5.07,-0.23,1.28
3,Sun,September 22,4:25PM ET,boxscore,L,,2-1,,New Orleans Saints,27,33,26,514,406,108,1,15,265,177,88,1,8.28,-0.89,-6.88
4,Sun,September 29,4:05PM ET,boxscore,W,,3-1,@,Arizona Cardinals,27,10,21,340,225,115,,20,321,206,115,1,10.61,0.78,2.81
5,Thu,October 3,8:20PM ET,boxscore,W,,4-1,,Los Angeles Rams,30,29,25,429,262,167,1,24,477,395,82,2,12.97,-9.94,-1.58
6,Sun,October 13,1:00PM ET,boxscore,W,,5-1,@,Cleveland Browns,32,28,29,454,284,170,1,21,406,249,157,4,15.53,-3.24,-4.92
7,Sun,October 20,4:25PM ET,boxscore,L,,5-2,,Baltimore Ravens,16,30,20,347,241,106,2,14,340,141,199,,-6.98,-7.42,-0.09
8,Sun,October 27,1:00PM ET,boxscore,W,,6-2,@,Atlanta Falcons,27,20,18,322,171,151,,30,510,441,69,3,7.62,-12.89,15.43
9,Sun,November 3,4:05PM ET,boxscore,W,OT,7-2,,Tampa Bay Buccaneers,40,34,31,492,347,145,1,29,418,319,99,1,23.58,-13.19,-6.92
10,Mon,November 11,8:15PM ET,boxscore,W,OT,8-2,@,San Francisco 49ers,27,24,19,336,189,147,4,21,302,215,87,3,-17.69,17.73,4.23
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 24,1:00PM ET,boxscore,W,,9-2,@,Philadelphia Eagles,17,9,14,348,174,174,2,23,344,238,106,5,-4.38,17.25,-0.20
13,Mon,December 2,8:15PM ET,boxscore,W,,10-2,,Minnesota Vikings,37,30,24,444,226,218,2,17,354,276,78,3,5.79,-6.46,10.50
14,Sun,December 8,8:20PM ET,boxscore,L,,10-3,@,Los Angeles Rams,12,28,16,308,202,106,1,26,455,293,162,2,-7.74,-13.97,4.96
15,Sun,December 15,1:00PM ET,boxscore,W,,11-3,@,Carolina Panthers,30,24,21,428,274,154,1,28,414,269,145,3,16.22,-6.32,-3.89
16,Sun,December 22,4:25PM ET,boxscore,L,,11-4,,Arizona Cardinals,13,27,13,224,133,91,1,21,412,159,253,,-13.87,-10.12,6.82
17,Sun,December 29,8:20PM ET,boxscore,L,,11-5,,San Francisco 49ers,21,26,27,348,223,125,,18,398,270,128,,10.85,-17.28,3.02
