Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,@,Cleveland Browns,43,13,21,339,216,123,,19,346,244,102,3,11.10,19.89,1.22
2,Sun,September 15,1:00PM ET,boxscore,L,,1-1,,Indianapolis Colts,17,19,18,243,119,124,,21,288,121,167,2,-3.74,-5.07,3.24
3,Thu,September 19,8:20PM ET,boxscore,L,,1-2,@,Jacksonville Jaguars,7,20,21,340,249,91,1,12,292,204,88,,-6.44,1.20,-5.28
4,Sun,September 29,1:00PM ET,boxscore,W,,2-2,@,Atlanta Falcons,24,10,22,365,227,138,,24,422,364,58,1,10.78,-1.83,3.80
5,Sun,October 6,1:00PM ET,boxscore,L,,2-3,,Buffalo Bills,7,14,14,252,150,102,,18,313,204,109,1,-3.60,1.16,-8.64
6,Sun,October 13,4:25PM ET,boxscore,L,,2-4,@,Denver Broncos,0,16,12,204,165,39,3,11,270,167,103,1,-25.18,10.82,-1.34
7,Sun,October 20,4:05PM ET,boxscore,W,,3-4,,Los Angeles Chargers,23,20,22,403,306,97,1,24,365,326,39,1,10.83,-8.93,0.57
8,Sun,October 27,1:00PM ET,boxscore,W,,4-4,,Tampa Bay Buccaneers,27,23,16,246,174,72,1,23,389,283,106,4,-2.72,6.92,1.66
9,Sun,November 3,1:00PM ET,boxscore,L,,4-5,@,Carolina Panthers,20,30,24,431,310,121,3,22,370,214,156,1,5.05,-9.15,-4.67
10,Sun,November 10,1:00PM ET,boxscore,W,,5-5,,Kansas City Chiefs,35,32,19,371,146,225,1,28,530,433,97,1,11.07,-13.98,3.81
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 24,4:05PM ET,boxscore,W,,6-5,,Jacksonville Jaguars,42,20,21,471,252,219,2,23,369,252,117,1,20.75,-1.20,2.59
13,Sun,December 1,1:00PM ET,boxscore,W,,7-5,@,Indianapolis Colts,31,17,15,292,138,154,2,22,391,309,82,3,-1.94,1.63,12.84
14,Sun,December 8,4:25PM ET,boxscore,W,,8-5,@,Oakland Raiders,42,21,26,552,391,161,1,22,355,258,97,1,29.61,-2.19,-5.43
15,Sun,December 15,1:00PM ET,boxscore,L,,8-6,,Houston Texans,21,24,24,432,269,163,1,23,374,234,140,2,9.37,-9.03,-6.55
16,Sun,December 22,1:00PM ET,boxscore,L,,8-7,,New Orleans Saints,28,38,17,397,248,149,1,23,377,275,102,,4.25,-13.33,-2.33
17,Sun,December 29,4:25PM ET,boxscore,W,,9-7,@,Houston Texans,35,14,25,467,222,245,,20,301,192,109,1,27.49,-1.54,-6.36
