,Week,Team Name,ScoredPoints,FirstDowns,PassY,RushY,TurnoversAllowed,FirstAllowed,YardsAllowed,PassYardsAllowed,RushingYardsAllowed,Turnovers
0,1,Steelers,3.0,15.0,276.0,32.0,1.0,24.0,465.0,366.0,99.0,
1,2,Steelers,26.0,17.0,180.0,81.0,1.0,25.0,425.0,274.0,151.0,2.0
2,3,Steelers,20.0,11.0,160.0,79.0,2.0,26.0,436.0,268.0,168.0,5.0
3,4,Steelers,27.0,20.0,260.0,66.0,1.0,16.0,175.0,102.0,73.0,2.0
4,5,Steelers,23.0,18.0,192.0,77.0,2.0,22.0,277.0,139.0,138.0,3.0
5,6,Steelers,24.0,18.0,132.0,124.0,1.0,23.0,348.0,316.0,32.0,3.0
6,7,Steelers,,,,,,,,,,
7,8,Steelers,27.0,21.0,236.0,158.0,1.0,16.0,230.0,170.0,60.0,4.0
8,9,Steelers,26.0,17.0,183.0,90.0,2.0,22.0,328.0,189.0,139.0,3.0
9,10,Steelers,17.0,15.0,231.0,42.0,2.0,16.0,306.0,218.0,88.0,4.0
10,11,Steelers,7.0,18.0,178.0,58.0,4.0,17.0,293.0,189.0,104.0,
11,12,Steelers,16.0,16.0,179.0,159.0,1.0,11.0,244.0,158.0,86.0,2.0
12,13,Steelers,20.0,18.0,199.0,124.0,1.0,19.0,279.0,173.0,106.0,2.0
13,14,Steelers,23.0,20.0,135.0,140.0,2.0,17.0,236.0,165.0,71.0,3.0
14,15,Steelers,10.0,15.0,178.0,51.0,5.0,17.0,261.0,131.0,130.0,2.0
15,16,Steelers,10.0,16.0,185.0,75.0,2.0,14.0,259.0,174.0,85.0,1.0
16,17,Steelers,10.0,10.0,77.0,91.0,2.0,19.0,304.0,81.0,223.0,2.0
17,1,Patriots,33.0,24.0,366.0,99.0,,15.0,308.0,276.0,32.0,1.0
18,2,Patriots,43.0,27.0,255.0,124.0,1.0,11.0,184.0,142.0,42.0,4.0
19,3,Patriots,30.0,21.0,313.0,68.0,2.0,6.0,105.0,69.0,36.0,1.0
20,4,Patriots,16.0,11.0,150.0,74.0,1.0,23.0,375.0,240.0,135.0,4.0
21,5,Patriots,33.0,23.0,312.0,130.0,1.0,11.0,223.0,78.0,145.0,2.0
22,6,Patriots,35.0,27.0,313.0,114.0,2.0,10.0,213.0,161.0,52.0,4.0
23,7,Patriots,33.0,22.0,249.0,74.0,1.0,12.0,154.0,73.0,81.0,6.0
24,8,Patriots,27.0,19.0,239.0,79.0,,15.0,310.0,151.0,159.0,3.0
25,9,Patriots,20.0,22.0,268.0,74.0,2.0,26.0,372.0,162.0,210.0,2.0
26,10,Patriots,,,,,,,,,,
27,11,Patriots,17.0,19.0,224.0,74.0,,21.0,255.0,174.0,81.0,1.0
28,12,Patriots,13.0,17.0,181.0,101.0,,16.0,321.0,212.0,109.0,1.0
29,13,Patriots,22.0,29.0,303.0,145.0,1.0,16.0,276.0,224.0,52.0,
30,14,Patriots,16.0,17.0,184.0,94.0,1.0,20.0,346.0,271.0,75.0,2.0
31,15,Patriots,34.0,19.0,116.0,175.0,,19.0,315.0,151.0,164.0,5.0
